"name","rank","industry","headquarters_state","year","headquarters_city","revenue_percent_change","profits_percent_change","total_shareholder_equity","profit_percent_sales","profit_percent_assets","profit_percent_shareholder_equity","stockholders_equity","profit_as_a_percent_of_sales","profit_as_a_percent_of_assets","profit_as_a_percent_of_shareholder_equity","gained_in_rank","dropped_in_rank","newcomer","profitable","founder_is_ceo","foreign_born_ceo","female_ceo","growth_in_jobs","sector","employees","newcomer_to_the_fortune_500","global_500","best_companies","worlds_most_admired_companies","change_the_world","fastest_growing_companies","change_in_rank_full_1000","change_in_rank_500_only","measure_up","measure_up_rank","profit_mil","asset_mil","revenue_mil","market_value_mil"
"Itron, Inc.",939,"Electronics, Electrical Equipment","WA",2010,"Liberty Lake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687.4,
"The Dun & Bradstreet Corporation",940,"Financial Data Services","NJ",2010,"Short Hills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687,
"Crown Castle International Corp.",941,"Telecommunications","TX",2010,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685.4,
"Towers Watson & Co.",942,"Diversified Outsourcing Services","NY",2010,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676,
"Universal Forest Products, Inc.",943,"Forest and Paper Products","MI",2010,"Grand Rapids",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673,
"Cerner Corporation",944,"Health Care: Pharmacy and Other Services","MO",2010,"North Kansas City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1671.9,
"Corrections Corporation of America",945,"zMiscellaneous","TN",2010,"Nashville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.5,
"Netflix, Inc.",946,"Specialty Retailers","CA",2010,"Los Gatos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.3,
"Werner Enterprises, Inc.",947,"Trucking, Truck Leasing","NE",2010,"Omaha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.5,
"Catalent Pharma Solutions, Inc.",948,"Pharmaceuticals","NJ",2010,"Somerset",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663.5,
"Ferro Corporation",949,"Chemicals","OH",2010,"Cleveland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657.6,
"Acuity Brands, Inc.",950,"Electronics, Electrical Equipment","GA",2010,"Atlanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657.4,
"HNI Corporation",951,"Home Equipment, Furnishings","IA",2010,"Muscatine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656.3,
"Millipore Corporation",952,"Scientific, Photographic and Control Equipment","MA",2010,"Billerica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654.4,
"Administaff, Inc.",953,"Diversified Outsourcing Services","TX",2010,"Kingwood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.1,
"Heartland Payment Systems, Inc.",954,"Financial Data Services","NJ",2010,"Princeton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652.1,
"Amica Mutual Insurance Co.",955,"Insurance: Property and Casualty (Mutual)","RI",2010,"Lincoln",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647.9,
"IDT Corp.",956,"Telecommunications","NJ",2010,"Newark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647.2,
"BlueLinx Holdings Inc.",957,"Wholesalers: Diversified","GA",2010,"Atlanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646.1,
"Maxim Integrated Products, Inc.",958,"Semiconductors and Other Electronic Components","CA",2010,"Sunnyvale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646,
"The Children's Place Retail Stores, Inc.",959,"Specialty Retailers","NJ",2010,"Secaucus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643.6,
"Pinnacle Foods Finance LLC",960,"Food Consumer Products","NJ",2010,"Mt. Lakes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.9,
"Republic Airways Holdings, Inc.",961,"Airlines","IN",2010,"Indianapolis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.2,
"Boyd Gaming Corporation",962,"Hotels, Casinos, Resorts","NV",2010,"Las Vegas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641,
"Piedmont Natural Gas Company, Inc.",963,"Utilities: Gas and Electric","NC",2010,"Charlotte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.1,
"Hologic, Inc.",964,"Medical Products and Equipment","MA",2010,"Bedford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.1,
"Herman Miller Incorporated",965,"Home Equipment, Furnishings","MI",2010,"Zeeland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630,
"Public Storage, Inc.",966,"zMiscellaneous","CA",2010,"Glendale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627.7,
"EnergySolutions, Inc.",967,"Diversified Outsourcing Services","UT",2010,"Salt Lake City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623.9,
"MasTec, Inc.",968,"Engineering & Construction","FL",2010,"Coral Gables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623.5,
"Plexus Corp.",969,"Semiconductors and Other Electronic Components","WI",2010,"Neenah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616.6,
"Central Garden & Pet Company",970,"Household and Personal Products","CA",2010,"Walnut Creek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.3,
"Citrix Systems, Inc.",971,"Network and Other Communications Equipment","FL",2010,"Fort Lauderdale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.1,
"Retail Ventures, Inc.",972,"General Merchandisers","OH",2010,"Columbus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611.5,
"John Wiley & Sons, Inc.",973,"Publishing, Printing","NJ",2010,"Hoboken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611.4,
"Atlas Energy, Inc.",974,"Pipelines","PA",2010,"Moon Township",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.9,
"The Cheesecake Factory, Incorporated",975,"Food Services","CA",2010,"Calabasas Hills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602,
"Global Payments Inc.",976,"Financial Data Services","GA",2010,"Atlanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601.5,
"Hovnanian Enterprises, Inc.",977,"Homebuilders","NJ",2010,"Red Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596.3,
"Carter's, Inc.",978,"Apparel","GA",2010,"Atlanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.7,
"DPL Inc.",979,"Utilities: Gas and Electric","OH",2010,"Dayton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588.9,
"Terra Industries Inc.",980,"Chemicals","IA",2010,"Sioux City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583.3,
"Modine Manufacturing Company",981,"Motor Vehicles & Parts","WI",2010,"Racine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581.6,
"PAETEC Holding Corp.",982,"Telecommunications","NY",2010,"Fairport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.2,
"Res-Care",983,"Health Care: Pharmacy and Other Services","KY",2010,"Louisville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.2,
"J. Crew Group, Inc.",984,"Specialty Retailers","NY",2010,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578,
"Genesco Inc.",985,"Specialty Retailers","TN",2010,"Nashville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574.4,
"Pacer International, Inc.",986,"Transportation and Logistics","CA",2010,"Concord",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574.2,
"Sunrise Senior Living, Inc.",987,"Health Care: Medical Facilities","VA",2010,"McLean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571.8,
"Delphi Financial Group, Inc.",988,"Insurance: Life, Health (Stock)","DE",2010,"Wilmington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571.7,
"Inergy Holdings, L.P.",989,"Energy","MO",2010,"Kansas City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570.6,
"PC Connection, Inc.",990,"Specialty Retailers","NH",2010,"Merrimack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569.7,
"Polaris Industries Inc.",991,"Transportation Equipment","MN",2010,"Medina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565.9,
"Scripps Networks Interactive, Inc.",992,"Entertainment","OH",2010,"Cincinnati",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564,
"Selective Insurance Group",993,"Insurance: Property and Casualty (Stock)","NJ",2010,"Branchville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1558.5,
"Lincare Holdings Inc.",994,"Health Care: Pharmacy and Other Services","FL",2010,"Clearwater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550.5,
"Covanta Holding Corporation",995,"Energy","NJ",2010,"Fairfield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550.5,
"Fossil, Inc.",996,"Household and Personal Products","TX",2010,"Richardson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548.1,
"Mueller Industries, Inc.",997,"Industrial Machinery","TN",2010,"Memphis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1547.2,
"Dollar Thrifty Automotive Group, Inc.",998,"Automotive Retailing, Services","OK",2010,"Tulsa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546.2,
"Michael Foods, Inc",999,"Food Consumer Products","MN",2010,"Minnetonka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1542.8,
"SRA International, Inc.",1000,"Information Technology Services","VA",2010,"Fairfax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540.6,
"Wal-Mart Stores, Inc.",1,"General Merchandisers","AR",2011,"Bentonville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421849,
"Exxon Mobil Corporation",2,"Petroleum Refining","TX",2011,"Irving",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354674,
"Chevron Corporation",3,"Petroleum Refining","CA",2011,"San Ramon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196337,
"ConocoPhillips",4,"Petroleum Refining","TX",2011,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184966,
"Fannie Mae",5,"Diversified Financials","DC",2011,"Washington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153825,
"General Electric Company",6,"Diversified Financials","CT",2011,"Fairfield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151628,
"Berkshire Hathaway Inc.",7,"Insurance: Property and Casualty (Stock)","NE",2011,"Omaha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136185,
"General Motors Corporation",8,"Motor Vehicles & Parts","MI",2011,"Detroit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135592,
"Bank of America Corporation",9,"Commercial Banks","NC",2011,"Charlotte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134194,
"Ford Motor Company",10,"Motor Vehicles & Parts","MI",2011,"Dearborn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128954,
"Hewlett-Packard Company",11,"Computers, Office Equipment","CA",2011,"Palo Alto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126033,
"AT&T Inc.",12,"Telecommunications","TX",2011,"Dallas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124629,
"J.P. Morgan Chase & Co.",13,"Commercial Banks","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115475,
"Citigroup, Inc.",14,"Commercial Banks","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111055,
"McKesson Corporation",15,"Wholesalers: Health Care","CA",2011,"San Francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108702,
"Verizon Communications Inc.",16,"Telecommunications","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106565,
"American International Group,Inc.",17,"Insurance: Property and Casualty (Stock)","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104417,
"International Business Machines Corporation",18,"Information Technology Services","NY",2011,"Armonk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99870,
"Cardinal Health, Inc.",19,"Wholesalers: Health Care","OH",2011,"Dublin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98601.9,
"Freddie Mac",20,"Diversified Financials","VA",2011,"McLean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98368,
"CVS Caremark Corporation",21,"Food & Drug Stores","RI",2011,"Woonsocket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96413,
"UnitedHealth Group Incorporated",22,"Health Care: Insurance and Managed Care","MN",2011,"Minnetonka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94155,
"Wells Fargo & Company",23,"Commercial Banks","CA",2011,"San Francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93249,
"Valero Energy Corporation",24,"Petroleum Refining","TX",2011,"San Antonio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86034,
"The Kroger Company",25,"Food & Drug Stores","OH",2011,"Cincinnati",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82189.4,
"The Procter & Gamble Company",26,"Household and Personal Products","OH",2011,"Cincinnati",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79689,
"AmerisourceBergen Corp.",27,"Wholesalers: Health Care","PA",2011,"Chesterbrook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77954,
"Costco Wholesale Corporation",28,"Specialty Retailers: Other","WA",2011,"Issaquah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77946,
"Marathon Oil Corporation",29,"Petroleum Refining","TX",2011,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68413,
"The Home Depot, Inc.",30,"Specialty Retailers: Other","GA",2011,"Atlanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67997,
"Pfizer Inc.",31,"Pharmaceuticals","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67809,
"Walgreen Co.",32,"Food & Drug Stores","IL",2011,"Deerfield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67420,
"Target Corporation",33,"General Merchandisers","MN",2011,"Minneapolis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67390,
"Medco Health Solutions, Inc.",34,"Health Care: Pharmacy and Other Services","NJ",2011,"Franklin Lakes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65968.3,
"Apple, Inc.",35,"Computers, Office Equipment","CA",2011,"Cupertino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65225,
"The Boeing Company",36,"Aerospace & Defense","IL",2011,"Chicago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64306,
"State Farm Insurance Cos.",37,"Insurance: Property and Casualty (Mutual)","IL",2011,"Bloomington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63176.7,
"Microsoft Corporation",38,"Computer Software","WA",2011,"Redmond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62484,
"Archer-Daniels-Midland Company",39,"Food Production","IL",2011,"Decatur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61682,
"Johnson & Johnson",40,"Pharmaceuticals","NJ",2011,"New Brunswick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61587,
"Dell Inc.",41,"Computers, Office Equipment","TX",2011,"Round Rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61494,
"WellPoint, Inc.",42,"Health Care: Insurance and Managed Care","IN",2011,"Indianapolis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58801.8,
"PepsiCo, Inc.",43,"Food Consumer Products","NY",2011,"Purchase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57838,
"United Technologies Corporation",44,"Aerospace & Defense","CT",2011,"Hartford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54326,
"The Dow Chemical Company",45,"Chemicals","MI",2011,"Midland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53674,
"MetLife, Inc.",46,"Insurance: Life, Health (Stock)","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52717,
"Best Buy Co. Inc.",47,"Specialty Retailers: Other","MN",2011,"Richfield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49694,
"United Parcel Service, Inc.",48,"Mail, Package, and Freight Delivery","GA",2011,"Atlanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49545,
"Kraft Foods Inc.",49,"Food Consumer Products","IL",2011,"Northfield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49542,
"Lowe's Companies, Inc.",50,"Specialty Retailers: Other","NC",2011,"Mooresville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48815,
"INTL FCStone Inc.",51,"Diversified Financials","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46940.3,
"Lockheed Martin Corporation",52,"Aerospace & Defense","MD",2011,"Bethesda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46890,
"Merck & Co., Inc.",53,"Pharmaceuticals","NJ",2011,"Whitehouse Station",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45987,
"The Goldman Sachs Group, Inc.",54,"Commercial Banks","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45967,
"Express Scripts, Inc.",55,"Health Care: Pharmacy and Other Services","MO",2011,"St. Louis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44989.7,
"Intel Corporation",56,"Semiconductors and Other Electronic Components","CA",2011,"Santa Clara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43623,
"Sears Holdings Corporation",57,"General Merchandisers","IL",2011,"Hoffman Estates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43326,
"Caterpillar Inc.",58,"Construction and Farm Machinery","IL",2011,"Peoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42588,
"Chrysler Group LLC",59,"Motor Vehicles & Parts","MI",2011,"Auburn Hills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41946,
"Safeway Inc.",60,"Food & Drug Stores","CA",2011,"Pleasanton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41050,
"Supervalu Inc.",61,"Food & Drug Stores","MN",2011,"Eden Prairie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40597,
"Cisco Systems, Inc.",62,"Network and Other Communications Equipment","CA",2011,"San Jose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40040,
"Morgan Stanley",63,"Commercial Banks","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39320,
"Prudential Financial, Inc.",64,"Insurance: Life, Health (Stock)","NJ",2011,"Newark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38414,
"The Walt Disney Company",65,"Entertainment","CA",2011,"Burbank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38063,
"Comcast Corporation",66,"Telecommunications","PA",2011,"Philadelphia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37937,
"Sysco Corporation",67,"Wholesalers: Food and Grocery","TX",2011,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37243.5,
"Sunoco, Inc.",68,"Petroleum Refining","PA",2011,"Philadelphia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35453,
"Abbott Laboratories",69,"Pharmaceuticals","IL",2011,"Abbott Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35166.7,
"The Coca-Cola Company",70,"Beverages","GA",2011,"Atlanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35119,
"New York Life Insurance Company",71,"Insurance: Life, Health (Mutual)","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34947.2,
"Northrop Grumman Corporation",72,"Aerospace & Defense","CA",2011,"Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34757,
"FedEx Corporation",73,"Mail, Package, and Freight Delivery","TN",2011,"Memphis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34734,
"Hess Corporation",74,"Petroleum Refining","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34613,
"Ingram Micro Inc.",75,"Wholesalers: Electronics and Office Equipment","CA",2011,"Santa Ana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34589,
"Johnson Controls, Inc.",76,"Motor Vehicles & Parts","WI",2011,"Milwaukee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34305,
"Aetna Inc.",77,"Health Care: Insurance and Managed Care","CT",2011,"Hartford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34246,
"Amazon.com Inc.",78,"Internet Services and Retailing","WA",2011,"Seattle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34204,
"Humana Inc.",79,"Health Care: Insurance and Managed Care","KY",2011,"Louisville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33868.2,
"Enterprise Products Partners, L.P.",80,"Pipelines","TX",2011,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33739.3,
"Honeywell International Inc.",81,"Aerospace & Defense","NJ",2011,"Morris Township",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33370,
"Liberty Mutual Holding Company Inc.",82,"Insurance: Property and Casualty (Stock)","MA",2011,"Boston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33193,
"News Corporation",83,"Entertainment","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32778,
"E.I. du Pont de Nemours and Company",84,"Chemicals","DE",2011,"Wilmington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32733,
"Sprint Nextel Corporation",85,"Telecommunications","KS",2011,"Overland Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32563,
"General Dynamics Corporation",86,"Aerospace & Defense","VA",2011,"Falls Church",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32466,
"Teachers Insurance and Annuity Association College Retiremen",87,"Insurance: Life, Health (Mutual)","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32224.9,
"Delta Air Lines, Inc.",88,"Airlines","GA",2011,"Atlanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31755,
"The Allstate Corporation",89,"Insurance: Property and Casualty (Stock)","IL",2011,"Northbrook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31400,
"HCA Holdings, Inc.",90,"Health Care: Medical Facilities","TN",2011,"Nashville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30683,
"American Express Company",91,"Commercial Banks","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30242,
"Google Inc.",92,"Internet Services and Retailing","CA",2011,"Mountain View",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29321,
"Tyson Foods, Inc.",93,"Food Production","AR",2011,"Springdale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28430,
"Philip Morris International Inc.",94,"Tobacco","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27208,
"Time Warner Inc.",95,"Entertainment","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26888,
"Oracle Corporation",96,"Computer Software","CA",2011,"Redwood City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26820,
"3M Company",97,"zMiscellaneous","MN",2011,"St. Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26662,
"Deere & Company",98,"Construction and Farm Machinery","IL",2011,"Moline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26004.6,
"Plains All American Pipeline, L.P.",99,"Pipelines","TX",2011,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25893,
"Rite Aid Corporation",100,"Food & Drug Stores","PA",2011,"Camp Hill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25669.1,
"Massachusetts Financial Group",101,"Insurance: Life, Health (Mutual)","MA",2011,"Springfield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25647.1,
"Publix Super Markets, Inc.",102,"Food & Drug Stores","FL",2011,"Lakeland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25328.1,
"CHS Inc.",103,"Wholesalers: Food and Grocery","MN",2011,"Inver Grove Heights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25267.9,
"Raytheon Company",104,"Aerospace & Defense","MA",2011,"Waltham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25183,
"International Paper Company",105,"Forest and Paper Products","TN",2011,"Memphis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25179,
"The Travelers Companies, Inc.",106,"Insurance: Property and Casualty (Stock)","NY",2011,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25112,
"Macy's, Inc.",107,"General Merchandisers","OH",2011,"Cincinnati",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25003,
"Staples, Inc.",108,"Specialty Retailers: Other","MA",2011,"Framingham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24545.1,
"Tech Data Corporation",109,"Wholesalers: Electronics and Office Equipment","FL",2011,"Clearwater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24376,
"DIRECTV",110,"Telecommunications","CA",2011,"El Segundo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24102,
"McDonald's Corporation",111,"Food Services","IL",2011,"Oak Brook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24074.6,
"Northwestern Mutual Life Insurance Company",112,"Insurance: Life, Health (Mutual)","WI",2011,"Milwaukee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23384.3,
"Murphy Oil Corporation",113,"Petroleum Refining","AR",2011,"El Dorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23345.1,
"United Continental Holdings, Inc.",114,"Airlines","IL",2011,"Chicago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23229,
"Eli Lilly and Company",115,"Pharmaceuticals","IN",2011,"Indianapolis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23076,
"Motorola Solutions, Inc.",116,"Network and Other Communications Equipment","IL",2011,"Schaumburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22823,
"The Hartford Financial Services Group Inc.",117,"Insurance: Property and Casualty (Stock)","CT",2011,"Hartford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22383,
"AMR Corporation",118,"Airlines","TX",2011,"Fort Worth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22170,
